Order_Number,Sales_Date,Sales_Channel,Currency,Sales_Team_Id,Store_Id,Product_Id,Order_qty,Unit_Price,Unit_Cost
SO94,01/02/2020,Wholesale,USD,25,5,26,9,502.8,359.15
SO95,04/05/2020,In-Store,USD,21,252,24,4,292.28,208.77
SO96,4/19/2020,Online,USD,14,125,33,2,413.4,295.29
SO97,2/14/2020,Online,USD,2,15,32,4,422.82,302.02
SO98,5/22/2020,Online,USD,4,332,47,2,246.9,176.36
SO99,1/21/2020,In-Store,USD,2,225,20,2,309.6,221.14
SO100,3/31/2020,Online,USD,3,10,19,3,232.9,166.35
SO101,4/19/2020,Online,USD,8,311,16,7,473.24,338.03
SO102,4/24/2020,Distributor,USD,22,54,47,7,191.15,136.54
SO103,04/08/2020,Distributor,USD,4,58,42,5,315.5,225.35
SO104,03/06/2020,In-Store,USD,22,304,1,9,323.45,231.03
SO105,2/24/2020,Wholesale,USD,19,143,39,4,503.09,359.35
SO106,4/15/2020,Distributor,USD,5,341,33,3,324.35,231.68
SO107,3/20/2020,Distributor,USD,11,301,20,9,374.95,267.82
SO108,5/26/2020,Online,USD,5,24,31,10,396.18,282.99
SO109,3/22/2020,In-Store,USD,8,98,19,6,157.8,112.71
SO110,01/12/2020,Wholesale,USD,17,284,35,9,363.72,259.8
SO111,05/11/2020,Online,USD,18,34,11,3,365.57,261.12
SO112,4/14/2020,Wholesale,USD,16,21,26,7,223.38,159.56
SO113,2/22/2020,Distributor,USD,10,32,43,3,402.34,287.39
SO114,5/24/2020,Wholesale,USD,13,65,40,3,576.93,412.1
SO115,04/03/2020,In-Store,USD,7,205,11,9,517.68,369.77
SO116,04/02/2020,In-Store,USD,5,326,39,1,523.06,373.61
SO117,2/20/2020,In-Store,USD,11,60,26,5,366.48,261.77
SO118,5/26/2020,In-Store,USD,18,182,35,7,224.25,160.18
SO119,05/10/2020,Online,USD,3,74,16,7,576.8,412
SO120,02/09/2020,In-Store,USD,14,152,24,4,461.8,329.86
SO121,3/13/2020,In-Store,USD,22,177,39,3,327.29,233.78
SO122,3/21/2020,Distributor,USD,4,36,11,4,635.01,453.58
SO123,03/06/2020,Distributor,USD,18,362,4,6,594.19,424.42
SO124,5/25/2020,Distributor,USD,8,199,37,1,292.82,209.16
SO125,2/23/2020,Wholesale,USD,11,327,34,8,307.91,219.94
SO126,02/01/2020,In-Store,USD,26,271,34,2,393.35,280.96
SO127,4/20/2020,In-Store,USD,14,257,22,10,339.81,242.72
SO128,2/22/2020,Distributor,USD,14,270,25,4,612.31,437.36
SO129,04/04/2020,Online,USD,14,207,8,7,304.59,217.57
SO130,2/21/2020,Online,USD,10,80,32,6,168.1,120.07
SO131,4/27/2020,In-Store,USD,14,6,45,10,343.45,245.32
SO132,1/21/2020,Distributor,USD,13,286,3,4,238.01,170.01
SO133,4/18/2020,Wholesale,USD,26,256,34,10,638.92,456.37
SO134,5/22/2020,Distributor,USD,3,94,34,8,153.04,109.31
SO135,3/29/2020,In-Store,USD,3,304,43,5,556.07,397.19
SO136,1/20/2020,Wholesale,USD,17,296,9,3,225.04,160.74
SO137,4/29/2020,Online,USD,1,171,28,8,431.37,308.12
SO138,05/09/2020,Online,USD,26,236,29,7,638.33,455.95
SO139,4/15/2020,Online,USD,24,305,4,4,639.52,456.8
SO140,03/12/2020,In-Store,USD,24,203,21,6,491.96,351.4
SO141,5/21/2020,Online,USD,7,83,35,7,208.05,148.6
SO142,1/19/2020,In-Store,USD,6,231,32,7,202.22,144.45
SO143,01/07/2020,Distributor,USD,15,125,24,2,381.36,272.4
SO144,02/01/2020,In-Store,USD,7,321,27,9,580.14,414.38
SO145,04/03/2020,Wholesale,USD,13,353,21,4,624.7,446.21
SO146,04/06/2020,In-Store,USD,23,206,24,5,541,386.43
SO147,01/02/2020,Online,USD,21,139,23,8,235.04,167.89
SO148,5/31/2020,Online,USD,11,191,18,1,538.27,384.48
SO149,03/02/2020,Wholesale,USD,4,1,42,7,314.01,224.3
SO150,01/06/2020,Wholesale,USD,25,283,37,3,402.2,287.29
SO151,4/26/2020,Online,USD,17,367,3,10,482.29,344.49
SO152,1/25/2020,Distributor,USD,21,50,32,10,429.26,306.61
SO153,5/16/2020,Online,USD,9,353,9,5,371.1,265.07
SO154,05/05/2020,In-Store,USD,12,268,22,5,164.04,117.17
SO155,05/04/2020,In-Store,USD,6,320,21,6,520.73,371.95
SO156,5/23/2020,Online,USD,1,198,27,2,463.27,330.91
SO157,5/22/2020,Wholesale,USD,1,348,29,10,447.27,319.48
SO158,4/30/2020,Online,USD,20,154,6,1,528.16,377.25
SO159,5/16/2020,In-Store,USD,13,35,45,2,280.81,200.58
SO160,01/03/2020,Online,USD,3,86,46,9,254.07,181.48
SO161,01/10/2020,Online,USD,14,7,46,8,480.04,342.89
SO162,04/06/2020,Online,USD,7,364,29,10,335.52,239.65
SO163,5/27/2020,In-Store,USD,5,106,47,10,264.89,189.2
SO164,02/08/2020,Online,USD,13,64,18,2,204.6,146.14
SO165,02/02/2020,In-Store,USD,4,321,16,5,544.44,388.89
SO166,05/08/2020,Wholesale,USD,9,236,2,8,519.66,371.19
SO167,04/04/2020,Distributor,USD,9,338,24,3,208.68,149.06
SO168,4/23/2020,Wholesale,USD,24,285,41,8,512.78,366.27
SO169,4/13/2020,Wholesale,USD,5,303,2,2,328.47,234.62
SO170,05/10/2020,Online,USD,11,281,34,1,169.13,120.81
SO171,3/30/2020,Distributor,USD,22,322,21,2,372.87,266.34
SO172,01/11/2020,In-Store,USD,20,70,19,4,302.63,216.16
SO173,2/17/2020,Distributor,USD,4,361,38,5,236.89,169.2
SO174,03/09/2020,Online,USD,9,122,35,9,230.19,164.42
SO175,04/04/2020,Wholesale,USD,1,108,30,2,455,325
SO176,4/29/2020,In-Store,USD,14,300,12,4,387.58,276.84
SO177,5/25/2020,Wholesale,USD,3,264,12,2,616.25,440.18
SO178,2/25/2020,Distributor,USD,3,200,26,9,320.75,229.11
SO179,3/24/2020,Online,USD,3,236,40,4,630.64,450.45
SO180,02/04/2020,In-Store,USD,14,22,41,10,648.02,462.87
SO181,1/30/2020,Online,USD,14,135,31,3,604.15,431.53
SO182,02/02/2020,In-Store,USD,17,263,37,2,178.6,127.57
SO183,04/01/2020,Wholesale,USD,7,18,9,9,214.71,153.36
SO184,3/18/2020,In-Store,USD,3,133,42,2,540.19,385.85
SO185,02/07/2020,In-Store,USD,5,64,33,2,610.73,436.24
SO186,04/02/2020,Online,USD,1,150,24,2,232.85,166.32
SO187,01/02/2020,Distributor,USD,6,318,28,1,456.21,325.86
SO188,4/29/2020,Wholesale,USD,17,166,15,3,231.19,165.13
SO189,02/03/2020,Distributor,USD,7,187,44,5,416.48,297.48
SO190,3/26/2020,Online,USD,25,308,25,3,296.63,211.88
SO191,4/30/2020,Wholesale,USD,8,193,30,8,444.05,317.18
SO192,4/26/2020,Wholesale,USD,7,321,5,6,356.35,254.54
SO193,3/22/2020,Distributor,USD,25,113,2,6,401.2,286.57
SO194,1/18/2020,Distributor,USD,4,186,4,6,389.06,277.9
SO195,5/14/2020,Wholesale,USD,6,216,34,3,152.2,108.71
SO196,3/14/2020,Online,USD,16,273,43,2,398.81,284.86
SO197,04/07/2020,Online,USD,3,287,28,5,393.33,280.95
SO198,02/07/2020,Online,USD,10,32,32,4,179.43,128.16
SO199,03/05/2020,Distributor,USD,14,33,16,5,604.1,431.5
SO200,2/20/2020,In-Store,USD,18,282,6,3,200.32,143.09
SO201,5/25/2020,Online,USD,4,137,4,7,648.4,463.14
SO202,5/30/2020,Distributor,USD,20,210,13,7,560.66,400.47
SO203,2/24/2020,Wholesale,USD,7,41,30,5,154.29,110.21
SO204,2/13/2020,Distributor,USD,7,188,3,10,595.34,425.24
SO205,1/14/2020,Online,USD,8,349,46,3,447.85,319.9
SO206,05/08/2020,Distributor,USD,21,244,34,3,338.03,241.45
SO207,02/07/2020,In-Store,USD,18,226,13,8,414.29,295.92
SO208,03/10/2020,Distributor,USD,10,334,28,10,162.36,115.97
SO209,02/12/2020,Online,USD,2,98,13,6,330.02,235.73
SO210,03/04/2020,Distributor,USD,11,152,12,7,558.07,398.62
SO211,2/26/2020,Wholesale,USD,10,189,23,10,279.74,199.82
SO212,05/07/2020,Online,USD,2,14,40,5,617.48,441.06
SO213,1/16/2020,Online,USD,24,245,12,6,438.42,313.16
SO214,02/12/2020,Online,USD,12,39,24,10,445.84,318.46
SO215,01/06/2020,In-Store,USD,16,367,19,10,603.83,431.31
SO216,2/20/2020,Distributor,USD,10,45,8,1,309.25,220.89
SO217,03/05/2020,In-Store,USD,6,11,12,3,498.22,355.87
SO218,1/24/2020,Distributor,USD,5,153,32,8,481.33,343.81
SO219,1/23/2020,Online,USD,23,48,30,1,478.9,342.07
SO220,01/02/2020,Wholesale,USD,17,298,26,9,363.72,259.8
SO221,3/31/2020,Online,USD,13,360,3,6,419.08,299.34
SO222,02/12/2020,In-Store,USD,10,286,36,6,591.18,422.27
SO223,01/11/2020,Distributor,USD,18,239,8,4,156.32,111.65
SO224,04/03/2020,Distributor,USD,3,250,45,4,433.8,309.86
SO225,5/21/2020,Distributor,USD,19,125,12,9,522.1,372.93
SO226,01/09/2020,Wholesale,USD,6,17,16,9,469.64,335.45
SO227,04/10/2020,In-Store,USD,20,25,14,1,584.67,417.62
SO228,2/24/2020,Wholesale,USD,11,6,9,10,585.81,418.43
SO229,2/28/2020,In-Store,USD,8,303,43,5,389.11,277.94
SO230,5/19/2020,Wholesale,USD,26,136,20,4,525.75,375.54
SO231,04/08/2020,In-Store,USD,7,363,3,7,568.13,405.8
SO232,5/17/2020,In-Store,USD,26,297,45,9,305.32,218.09
SO233,3/18/2020,Wholesale,USD,21,5,29,10,342.21,244.43
SO234,3/20/2020,Online,USD,7,128,28,8,450.83,322.02
SO235,1/25/2020,Online,USD,10,255,40,5,563.06,402.19
SO236,04/08/2020,In-Store,USD,25,16,46,8,634.24,453.03
SO237,04/11/2020,In-Store,USD,5,194,31,5,543.48,388.2
SO238,1/14/2020,In-Store,USD,11,149,18,6,416.14,297.24
SO239,3/30/2020,In-Store,USD,5,352,5,8,587.99,419.99
SO240,02/07/2020,Distributor,USD,24,70,31,9,421.14,300.81
SO241,3/14/2020,Distributor,USD,9,188,19,5,220.05,157.18
SO242,01/10/2020,Distributor,USD,3,163,42,2,391.88,279.91
SO243,04/08/2020,In-Store,USD,20,53,25,6,262.65,187.6
SO244,2/24/2020,Online,USD,14,363,38,10,211.8,151.29
SO245,3/22/2020,Distributor,USD,20,113,5,1,521.35,372.39
SO246,01/02/2020,Wholesale,USD,7,267,36,6,593.34,423.81
SO247,4/18/2020,Online,USD,10,188,15,9,475.45,339.61
SO248,04/10/2020,Wholesale,USD,18,167,26,5,253.1,180.79
SO249,2/20/2020,Distributor,USD,12,159,36,9,487.6,348.29
SO250,4/23/2020,In-Store,USD,4,11,10,5,549.4,392.43
SO251,03/02/2020,Distributor,USD,7,301,37,8,166.07,118.62
SO252,1/23/2020,Distributor,USD,16,54,37,6,626.04,447.17
SO253,3/13/2020,In-Store,USD,3,282,20,10,157.61,112.58
SO254,4/22/2020,Online,USD,22,6,26,8,300.21,214.44
SO255,2/28/2020,Online,USD,7,46,10,7,247.39,176.71
SO256,04/02/2020,Online,USD,15,253,24,6,502.08,358.63
SO257,1/26/2020,Wholesale,USD,19,7,24,6,294.77,210.55
SO258,4/21/2020,Wholesale,USD,22,326,32,10,217.15,155.11
SO259,03/12/2020,Distributor,USD,26,325,40,5,638.58,456.13
SO260,03/02/2020,Online,USD,12,192,34,1,530.74,379.1
SO261,05/11/2020,Distributor,USD,4,152,31,8,234.33,167.38
SO262,04/09/2020,Online,USD,24,101,4,6,447.03,319.3
SO263,5/24/2020,Online,USD,6,102,16,6,429.52,306.8
SO264,3/16/2020,Online,USD,22,343,18,7,342.44,244.6
SO265,02/08/2020,Wholesale,USD,1,240,27,2,364.92,260.65
SO266,4/23/2020,In-Store,USD,7,137,45,8,481.53,343.95
SO267,1/24/2020,Distributor,USD,9,285,10,3,174.47,124.62
SO268,4/15/2020,Online,USD,9,117,31,4,184.5,131.79
SO269,03/10/2020,In-Store,USD,5,47,13,5,226.29,161.64
SO270,5/25/2020,In-Store,USD,24,124,24,7,354.94,253.53
SO271,2/14/2020,In-Store,USD,6,359,36,8,302.88,216.34
SO272,1/30/2020,Online,USD,3,251,23,1,177.57,126.84
SO273,3/13/2020,Wholesale,USD,21,131,25,8,239.37,170.98
SO274,3/31/2020,Distributor,USD,12,337,36,8,464.07,331.48
SO275,3/20/2020,Online,USD,10,253,7,4,156.63,111.88
SO276,2/17/2020,Wholesale,USD,12,161,14,1,198.14,141.53
SO277,5/18/2020,In-Store,USD,12,255,29,1,555.48,396.77
SO278,1/30/2020,Online,USD,20,132,13,8,511.49,365.35
SO279,2/15/2020,Online,USD,6,89,28,4,158.33,113.09
SO280,3/20/2020,Online,USD,2,140,3,7,387.4,276.71
SO281,5/14/2020,Distributor,USD,18,106,6,7,531.9,379.93
SO282,04/11/2020,In-Store,USD,6,197,21,7,577.96,412.83
SO283,5/20/2020,Distributor,USD,15,32,8,5,598.03,427.16
SO284,4/21/2020,Wholesale,USD,2,365,26,8,282.28,201.63
SO285,02/11/2020,Distributor,USD,15,103,19,8,336.59,240.42
SO286,4/19/2020,Wholesale,USD,3,124,34,5,316.13,225.8
SO287,2/29/2020,Distributor,USD,18,222,19,2,545.06,389.33
SO288,4/26/2020,Online,USD,20,341,39,10,576.83,412.02
SO289,1/23/2020,Distributor,USD,23,94,35,7,173.24,123.74
SO290,03/07/2020,In-Store,USD,7,116,19,3,273.51,195.36
SO291,03/10/2020,Wholesale,USD,2,73,26,8,392.2,280.15
SO292,1/23/2020,Distributor,USD,5,293,3,10,499.78,356.98
SO293,3/13/2020,Online,USD,26,349,12,9,633.51,452.5
SO294,02/04/2020,In-Store,USD,25,213,21,8,334.67,239.05
SO295,5/29/2020,In-Store,USD,2,225,38,8,517.08,369.35
SO296,1/21/2020,Online,USD,7,64,22,7,327.32,233.8
SO297,1/14/2020,Wholesale,USD,20,74,39,1,168.56,120.4
SO298,5/22/2020,In-Store,USD,26,341,29,8,292.68,209.05
SO299,3/15/2020,Distributor,USD,8,190,42,1,569.78,406.99
SO300,5/24/2020,Wholesale,USD,26,318,31,4,514.27,367.34
SO301,05/09/2020,Wholesale,USD,18,56,10,8,200.82,143.45
SO302,02/06/2020,Online,USD,4,88,42,4,545.83,389.88
SO303,01/03/2020,Wholesale,USD,11,123,44,4,388.76,277.69
SO304,2/19/2020,Wholesale,USD,1,157,4,5,449.32,320.94
SO305,1/26/2020,Distributor,USD,10,260,27,4,341,243.57
SO306,2/13/2020,Wholesale,USD,20,44,6,6,414.57,296.12
SO307,1/25/2020,Wholesale,USD,11,113,23,6,540.97,386.41
SO308,02/05/2020,Online,USD,11,338,40,3,341.66,244.04
SO309,04/04/2020,In-Store,USD,10,85,8,1,243.34,173.81
SO310,04/01/2020,Wholesale,USD,21,288,42,4,591.72,422.66
SO311,03/09/2020,Wholesale,USD,20,311,43,1,482.26,344.47
SO312,5/25/2020,Distributor,USD,14,346,35,5,226.79,161.99
SO313,5/28/2020,Online,USD,23,185,13,6,584.15,417.25
SO314,1/31/2020,In-Store,USD,18,78,29,7,206.92,147.8
SO315,05/12/2020,In-Store,USD,25,34,44,1,350.03,250.02
SO316,2/15/2020,In-Store,USD,14,323,19,1,600.61,429.01
SO317,2/27/2020,Distributor,USD,6,338,19,6,157.56,112.54
SO318,5/31/2020,Online,USD,25,190,1,8,529.34,378.1
SO319,4/23/2020,In-Store,USD,15,275,20,8,376.09,268.64
SO320,1/19/2020,Online,USD,18,158,45,8,172.73,123.38
SO321,4/27/2020,Distributor,USD,2,350,39,1,611.54,436.81
SO322,03/08/2020,Wholesale,USD,20,224,36,10,278.61,199.01
SO323,4/29/2020,Online,USD,4,59,27,10,424.83,303.45
SO324,1/21/2020,In-Store,USD,5,136,34,3,258.06,184.33
SO325,04/06/2020,Wholesale,USD,9,309,6,1,287.18,205.13
SO326,03/04/2020,Online,USD,24,26,11,7,580.07,414.34
SO327,03/02/2020,Online,USD,12,238,6,1,157.58,112.56
SO328,05/11/2020,Wholesale,USD,8,206,11,9,275.64,196.88
SO329,5/20/2020,In-Store,USD,24,206,15,6,207.17,147.98
SO330,2/26/2020,Online,USD,19,109,41,2,526.18,375.84
SO331,2/20/2020,In-Store,USD,11,28,2,10,324.3,231.64
SO332,5/25/2020,Wholesale,USD,11,82,23,2,386.7,276.22
SO333,02/11/2020,Distributor,USD,3,4,43,7,169.61,121.15
SO334,4/17/2020,Online,USD,21,329,15,4,378.21,270.15
SO335,03/04/2020,Online,USD,13,249,11,3,172.4,123.14
SO336,04/11/2020,Wholesale,USD,18,164,23,4,250.03,178.59
SO337,03/10/2020,Distributor,USD,25,175,21,3,477.98,341.42
SO338,03/06/2020,Wholesale,USD,8,120,14,10,384.26,274.47
SO339,4/18/2020,Distributor,USD,2,57,34,4,491.95,351.39
SO340,04/10/2020,Online,USD,23,355,47,10,407.5,291.07
SO341,01/12/2020,Wholesale,USD,25,121,9,5,289.46,206.76
SO342,01/04/2020,Online,USD,3,287,16,1,223.41,159.58
SO343,05/03/2020,Online,USD,18,360,43,7,273.02,195.02
SO344,5/30/2020,In-Store,USD,4,60,28,10,287.94,205.67
SO345,3/21/2020,Online,USD,25,362,4,6,597.38,426.7
SO346,04/03/2020,In-Store,USD,21,125,1,6,579.18,413.7
SO347,03/01/2020,Distributor,USD,16,363,12,10,502.37,358.84
SO348,2/26/2020,Wholesale,USD,14,124,40,1,344.19,245.85
SO349,02/02/2020,Online,USD,14,36,41,8,325.04,232.17
SO350,2/23/2020,Distributor,USD,4,127,12,2,329.25,235.18
SO351,1/18/2020,Online,USD,18,77,43,10,570.28,407.34
SO352,4/18/2020,Wholesale,USD,9,84,43,9,307.42,219.59
SO353,5/24/2020,Distributor,USD,7,6,32,7,560.71,400.51
SO354,01/06/2020,Online,USD,17,19,2,4,373.38,266.7
SO355,04/01/2020,In-Store,USD,9,342,2,4,313.73,224.1
SO356,5/14/2020,Online,USD,26,284,12,5,572.75,409.11
SO357,4/22/2020,Online,USD,13,182,32,9,400.87,286.34
SO358,01/03/2020,Distributor,USD,14,192,14,2,572.66,409.04
SO359,05/12/2020,Online,USD,2,16,46,10,180.8,129.15
SO360,4/17/2020,Wholesale,USD,26,46,33,3,203.04,145.03
SO361,04/11/2020,In-Store,USD,10,235,43,6,433.78,309.84
SO362,2/22/2020,Distributor,USD,21,278,47,3,320.93,229.24
SO363,05/06/2020,Wholesale,USD,22,221,38,1,518.28,370.2
SO364,02/05/2020,In-Store,USD,3,336,32,5,568.96,406.4
SO365,1/19/2020,Wholesale,USD,23,39,35,7,336.17,240.12
SO366,1/23/2020,In-Store,USD,19,32,26,4,243.5,173.93
SO367,1/24/2020,Wholesale,USD,1,246,16,2,483.58,345.41
SO368,02/10/2020,Distributor,USD,4,286,34,5,597.37,426.69
SO369,02/08/2020,Distributor,USD,12,207,2,3,603.34,430.96
SO370,2/14/2020,Wholesale,USD,9,302,25,3,514.07,367.19
SO371,2/22/2020,Distributor,USD,11,142,46,9,588.85,420.61
SO372,1/19/2020,In-Store,USD,11,40,13,10,160.83,114.88
SO373,4/14/2020,Wholesale,USD,15,144,5,6,396.37,283.12
SO374,02/06/2020,In-Store,USD,13,50,21,7,298.99,213.56
SO375,01/08/2020,Online,USD,16,110,12,7,360.4,257.43
SO376,04/08/2020,Wholesale,USD,24,28,32,3,586.51,418.93
SO377,03/08/2020,In-Store,USD,21,234,22,7,524.62,374.73
SO378,02/01/2020,Online,USD,24,74,44,9,332.66,237.61
SO379,04/10/2020,Online,USD,17,344,13,3,632.33,451.66
SO380,3/14/2020,Distributor,USD,16,330,20,2,280.17,200.12
SO381,1/27/2020,Online,USD,23,79,8,7,541.57,386.84
SO382,3/28/2020,Distributor,USD,13,219,9,6,608.26,434.47
SO383,1/21/2020,In-Store,USD,15,237,26,4,454.4,324.57
SO384,3/27/2020,In-Store,USD,22,129,33,4,495.57,353.98
SO385,3/31/2020,Wholesale,USD,8,130,11,4,474.77,339.12
SO386,3/15/2020,In-Store,USD,5,339,26,8,197.71,141.22
SO387,01/12/2020,Distributor,USD,23,244,7,10,638.2,455.86
SO388,5/22/2020,Wholesale,USD,4,197,8,1,207.01,147.87
SO389,02/01/2020,In-Store,USD,25,117,13,7,176.12,125.8
SO390,4/30/2020,Wholesale,USD,17,265,18,9,202.83,144.88
SO391,01/07/2020,Wholesale,USD,14,166,46,3,414.53,296.09
SO392,4/15/2020,Online,USD,9,329,43,9,626.18,447.27
SO393,02/03/2020,Online,USD,1,126,26,1,300.41,214.58
SO394,1/19/2020,Wholesale,USD,13,217,13,3,318.85,227.75
SO395,1/23/2020,Wholesale,USD,20,95,18,8,228.03,162.88
SO396,2/17/2020,Online,USD,18,175,37,6,325.2,232.28
SO397,05/01/2020,In-Store,USD,10,311,6,1,403.05,287.9
SO398,2/22/2020,Online,USD,18,218,18,4,533.09,380.78
SO399,5/14/2020,Online,USD,18,355,42,7,649.08,463.63
SO400,1/21/2020,In-Store,USD,11,165,40,1,504.98,360.7
